"Income"	"Age"	"Dependents"	"Occupation"	"City_Tier"	"Rent"	"Loan_Repayment"	"Insurance"	"Groceries"	"Transport"	"Eating_Out"	"Entertainment"	"Utilities"	"Healthcare"	"Education"	"Miscellaneous"
36102.6636401	64	1	"Professional"	"Tier_2"	7220.53272802	2660.67958510452	1799.80956931202	3759.69283944633	1822.68588994755	1701.02747109205	1626.98592933232	1760.70154151913	1299.72058701361	3006.62403002482	541.453855355198
19456.1222729325	46	3	"Self_Employed"	"Tier_1"	5836.83668187976	0	838.331805953414	2345.36196505812	1263.99346104866	437.458062590139	654.420181812985	1426.77977655204	734.869422057786	1236.50361082698	580.930120622173
13917.6851647046	56	4	"Professional"	"Tier_2"	2783.53703294092	0	425.024462636763	1782.19045464897	1006.82462711102	398.460412768745	674.861036882195	769.629684206654	593.056621187967	861.053661366149	214.335128066584
6657.32761664232	42	3	"Professional"	"Tier_2"	1331.46552332846	904.824934889555	308.901722695329	897.084637225999	484.611476531064	249.854779411034	232.362940797156	358.936731086316	201.326101683351	384.880418682447	128.260649088004
28197.7619996821	35	4	"Self_Employed"	"Tier_3"	4229.66429995232	0	1242.01498375141	3474.00091986733	1691.05375703451	1247.47074045318	1100.44304213564	1714.64996557783	856.738309207816	1663.56943753036	610.220660655762
24526.9973254596	28	1	"Retired"	"Tier_2"	4905.39946509192	1522.45395179122	684.12849453762	3645.65058853356	1888.48736784092	716.038774598112	936.116811722995	1687.74584131618	1173.06684761666	2355.28454122603	326.811632557538
10861.218443507	51	1	"Professional"	"Tier_1"	3258.3655330521	1344.59244045865	239.224066058606	1318.62792085263	605.080395305775	368.505293899276	332.47629321901	765.518795904234	409.414644058964	1006.61970069368	203.583859743203
14345.64278349	22	4	"Self_Employed"	"Tier_1"	4303.69283504699	2124.10400347579	312.91727329006	1762.79156913309	822.41987059101	581.996498972019	585.895453777454	813.234972970308	573.862689562338	1016.58903623263	171.485326995508
74765.8361228561	20	2	"Student"	"Tier_2"	14953.1672245712	0	2513.11446751934	7550.23450187877	5065.85692309814	3106.71889671275	1664.13945690969	3706.72000591911	3533.61616499641	6931.95727016147	2054.84939950214
35065.4869473817	53	4	"Student"	"Tier_2"	7013.09738947635	0	871.950632995332	3546.19247390466	2711.90062589562	1748.74637605983	1395.07281357236	2768.75430842805	1299.11943742552	1811.67376815983	847.971798644446
90991.4270539639	51	3	"Professional"	"Tier_2"	18198.2854107928	0	2146.71277133881	13132.8568822973	6373.44478274688	3460.91756185833	2261.64227810992	4846.44117258665	3239.73361801911	5720.06498714607	2483.42626212093
36562.1862350272	38	2	"Professional"	"Tier_3"	5484.32793525408	0	1095.53947375282	5349.61396436446	2778.37031996457	1776.41472516152	1323.411651965	2776.3329811883	1607.63628490799	2868.8681075679	755.393210225399
29985.3999780955	28	0	"Retired"	"Tier_2"	5997.0799956191	1696.73290082762	735.64329694122	3784.50444445547	2351.03422667624	1137.01320005531	1346.75953111397	1488.30190840502	1338.1362456748	0	302.252443525799
122278.321686959	49	4	"Professional"	"Tier_2"	24455.6643373918	16817.5390848999	2676.74389764626	18179.7578987102	7379.32741389757	3237.81957043759	5533.95518611369	9035.83391601899	5892.103970991	7171.16811370949	3127.09821631548
91091.7831472152	49	0	"Student"	"Tier_3"	13663.7674720823	0	2726.15121039861	10420.2415990088	6151.73359563083	2888.25751680819	4263.65539561907	6328.49469443189	4531.38596460505	0	1944.12596432605
42603.1221825325	24	2	"Professional"	"Tier_3"	6390.46832737988	2459.00501507998	1773.86214605903	5680.15959636165	2890.35956391614	2118.87111145628	1149.73119973104	2438.91050429663	1776.10100215727	2970.49071686067	1047.41702267486
